scoreTeacher,studentName,studentId,question,keyAnswer,studentAnswer
3.5,Student[6],[6],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.
5,Student[5],[5],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To sumulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.
4,Student[8],[8],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.
5,Student[3],[3],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving."
3,Student[4],[4],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,It's used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.
2,Student[24],[24],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized
2.5,Student[9],[9],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible."
5,Student[22],[22],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program
3.5,Student[23],[23],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To provide an example or model of how the finished program should perfom. -Provides forsight of some of the challanges that would be encountered. -Provides opportunity To introduce changes To the finished program.
5,Student[2],[2],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.
5,Student[29],[29],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,A program that stimulates the behavior of portions of the desired software product.
5,Student[31],[31],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,A program that simulates the behavior of portions of the desired software product.
2,Student[12],[12],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To lay out the basics and give you a starting point in the actual problem solving.
4.5,Student[21],[21],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To simulate problem solving for parts of the problem
2,Student[13],[13],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.
4.5,Student[11],[11],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon."
5,Student[17],[17],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,Program that simulates the behavior of portions of the desired software product
2,Student[7],[7],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,it provides a limited proof of concept to verify with the client before actually programming the whole application.
2,Student[10],[10],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,It tests the main function of the program while leaving out the finer details.
2.5,Student[27],[27],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.
5,Student[20],[20],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product
5,Student[18],[18],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,It simulates the behavior of portions of the desired software product.
1.5,Student[19],[19],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,A prototype program is used in problem solving to collect data for the problem.
2.5,Student[16],[16],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,To ease the understanding of problem under discussion and to ease the understanding of the program itself
5,Student[26],[26],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product
2,Student[1],[1],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,The role of a prototype program is to help spot key problems that may arise during the actual programing.
3,Student[28],[28],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,"the prototype program gives a general idea of what the end product will do, without the time and effort to write out the entire program."
3,Student[15],[15],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,to show that a certain part of the program works as it is supposed to
2.5,Student[14],[14],What is the role of a prototype program in problem solving?,To sumulate the behaviour of portions of the desired software product.,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution."
